ID;In welchem Bereich arbeitest du hauptsächlich?;Wie groß ist dein Unternehmen?;In welcher Branche ist dein Unternehmen tätig?;Wie häufig nutzt du GenAI-Tools im beruflichen Umfeld?;Für welche Aufgaben setzt du GenAI hauptsächlich ein?;Welche GenAI Modelle/Tools nutzt du?;Wie schätzt du aktuell deine Kompetenz im Umgang mit GenAI ein?;Heute;In 1-3 Jahren;Wie sicher fühlst du dich bei der Einordnung der Ergebnisse von GenAI-Antworten?;Warum nutzt du keine GenAI-Tools?;In welchen Bereichen wünschst du dir Verbesserungen bei der persönlichen Nutzung von GenAI-Tools?;Bist du dir der Datenschutz-/Datensicherheitsregeln bezüglich der Nutzung von GenAI-Tools bewusst?;GenAI wird aktuell als Wachstumstreiber und als Effizienzhebel beschrieben. Wie denkst du wird sich GenAI primär in deinem Unternehmen auswirken?;In welchem Stadium befinden sich die Dir bekannten KI-Anwendungsfälle überwiegend;Was ist aktuell die größte Herausforderung beim unternehmensweiten Einsatz von (Gen)AI?;Welche Modellstrategie wird Deiner Einschätzung nach in den nächsten 5 Jahren dominieren?
242;IT-Consulting;Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Präsentationserstellung;";"OpenAI ChatGPT;Google Gemini;Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);Anthrophic Claude;";Ich nutze erweiterte Funktionen (z.B. Automatisierungen, eigene Workflows), um meine Aufgaben zu lösen.;Leichte Verbesserung;Deutliche Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Fehlende Datenqualität und -verfügbarkeit;Hybridansatz aus großen und spezialisierten Modellen
243;Support & Service;Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Texterstellung (Dokumentation, Berichte, Anforderungen);Testfallerstellung;Bugfixing;Recherche und Wissensvermittlung;";"OpenAI ChatGPT;Google Gemini;Microsoft Copilot;";Ich nutze erweiterte Funktionen (z.B. Automatisierungen, eigene Workflows), um meine Aufgaben zu lösen.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Unklare Governance und regulatorische Unsicherheit;Hybridansatz aus großen und spezialisierten Modellen
244;IT-Consulting;Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);concept / though structuring ;";"OpenAI ChatGPT;";Ich nutze erweiterte Funktionen (z.B. Automatisierungen, eigene Workflows), um meine Aufgaben zu lösen.;Deutliche Verbesserung;Deutliche Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Erzeugung von präziseren und treffsicheren Antworten;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Unternehmensweiter Rollout abgeschlossen;Integration in bestehende IT-Systeme;Hybridansatz aus großen und spezialisierten Modellen
245;IT-Consulting;Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);";"OpenAI ChatGPT;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Leichte Verbesserung;Deutliche Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Gleichermaßen beides;Unternehmensweiter Rollout abgeschlossen;Fehlende Datenqualität und -verfügbarkeit;Hybridansatz aus großen und spezialisierten Modellen
246;IT-Consulting;Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);";"OpenAI ChatGPT;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Akzeptanz im Team/Unternehmen;Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Wachstumstreiber (neue Produkte, Märkte, Umsatzpotenziale);Unternehmensweiter Rollout abgeschlossen;Mangel an qualifiziertem Personal und Know-how;Mehrere große Modelle in Kombination
247;IT-Consulting;Mittleres Unternehmen (51-250 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Bildgenerierung;";"OpenAI ChatGPT;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Gleichermaßen beides;Prototyp vorhanden, weitere Entwicklung erforderlich;Unklare Governance und regulatorische Unsicherheit;Mehrere große Modelle in Kombination
248;IT-Consulting;Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Bildgenerierung;";"OpenAI ChatGPT;Microsoft Copilot;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Gleichermaßen beides;Prototyp vorhanden, weitere Entwicklung erforderlich;Unklarer Business Case / ROI-Nachweis;Hybridansatz aus großen und spezialisierten Modellen
249;IT-Consulting;Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);";"OpenAI ChatGPT;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Leichte Verbesserung;Ich nutze den Großteil der Antworten als Vorlage, bei Zweifeln lasse ich die KI das Ergebnis überprüfen.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Unklarer Business Case / ROI-Nachweis;Mehrere große Modelle in Kombination
250;IT-Consulting;Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);";"OpenAI ChatGPT;Google Gemini;Andere cloudbasierte Modelle/Tools;";Ich nutze erweiterte Funktionen (z.B. Automatisierungen, eigene Workflows), um meine Aufgaben zu lösen.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Benutzbarkeit (UI/UX);Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Fehlende Datenqualität und -verfügbarkeit;Spezialisierte, kleinere Modelle für spezifische Aufgaben
251;IT-Consulting;Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Texterstellung (Dokumentation, Berichte, Anforderungen);Recherche und Wissensvermittlung;Bildgenerierung;";"OpenAI ChatGPT;Google Gemini;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);In Konzeption oder Entwicklung;Integration in bestehende IT-Systeme;Kann ich nicht einschätzen
252;IT-Consulting;Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Präsentationserstellung;";"OpenAI ChatGPT;Microsoft Copilot;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Deutliche Verbesserung;Leichte Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Fehlende Datenqualität und -verfügbarkeit;Mehrere große Modelle in Kombination
253;IT-Consulting;Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Bildgenerierung;Softwareentwicklung ;Testfallerstellung;Bugfixing;";"OpenAI ChatGPT;Anthrophic Claude;Google Gemini;Andere cloudbasierte Modelle/Tools;";Ich entwickle eigene GenAI-basierte Lösungen (z.B. mit Hilfe von MCP-Zugriffen oder eigenen Agenten).;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Kosten;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Grundlegende Richtlinien sind mir bekannt, aber ich wende sie nicht immer konsequent an.;Gleichermaßen beides;Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Integration in bestehende IT-Systeme;Hybridansatz aus großen und spezialisierten Modellen
254;IT-Consulting;Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Präsentationserstellung;Bildgenerierung;Softwareentwicklung ;Testfallerstellung;Bugfixing;";"OpenAI ChatGPT;Anthrophic Claude;Microsoft Copilot;";Ich nutze erweiterte Funktionen (z.B. Automatisierungen, eigene Workflows), um meine Aufgaben zu lösen.;Deutliche Verbesserung;Deutliche Verbesserung;Ich nutze den Großteil der Antworten als Vorlage, bei Zweifeln lasse ich die KI das Ergebnis überprüfen.;;"Datensicherheit;Kosten;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Fehlende Datenqualität und -verfügbarkeit;Hybridansatz aus großen und spezialisierten Modellen
255;IT-Consulting;Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Präsentationserstellung;";"OpenAI ChatGPT;";Ich entwickle eigene GenAI-basierte Lösungen (z.B. mit Hilfe von MCP-Zugriffen oder eigenen Agenten).;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Integration in bestehende IT-Systeme;Hybridansatz aus großen und spezialisierten Modellen
256;Support & Service;Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Wöchentlich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Bildgenerierung;";"OpenAI ChatGPT;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Leichte Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Datensicherheit;Akzeptanz im Team/Unternehmen;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Gleichermaßen beides;Unternehmensweiter Rollout abgeschlossen;Integration in bestehende IT-Systeme;Hybridansatz aus großen und spezialisierten Modellen
257;IT-Consulting;Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);";"OpenAI ChatGPT;Microsoft Copilot;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Fehlerrate der Modelle;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);Erzeugung von präziseren und treffsicheren Antworten;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Fehlende Datenqualität und -verfügbarkeit;Hybridansatz aus großen und spezialisierten Modellen
258;Support & Service;Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Übersetzen ;";"OpenAI ChatGPT;Anthrophic Claude;Microsoft Copilot;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Deutliche Verbesserung;Ich nutze den Großteil der Antworten als Vorlage, bei Zweifeln lasse ich die KI das Ergebnis überprüfen.;;"Benutzbarkeit (UI/UX);Datensicherheit;Akzeptanz im Team/Unternehmen;Mehr Integration (Email, Terminkalender, Office Tools);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);In Konzeption oder Entwicklung;Mangel an qualifiziertem Personal und Know-how;Hybridansatz aus großen und spezialisierten Modellen
259;Management (Projekt, Produkt, Führung);Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;";"OpenAI ChatGPT;Microsoft Copilot;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Benutzbarkeit (UI/UX);Fehlerrate der Modelle;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Unternehmensweiter Rollout abgeschlossen;Unklare Governance und regulatorische Unsicherheit;Hybridansatz aus großen und spezialisierten Modellen
260;IT-Consulting;Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Präsentationserstellung;";"OpenAI ChatGPT;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Deutliche Verbesserung;Leichte Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Prototyp vorhanden, weitere Entwicklung erforderlich;Unklarer Business Case / ROI-Nachweis;Hybridansatz aus großen und spezialisierten Modellen
261;IT-Consulting;Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Softwareentwicklung ;";"OpenAI ChatGPT;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Erzeugung von präziseren und treffsicheren Antworten;Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Grundlegende Richtlinien sind mir bekannt, aber ich wende sie nicht immer konsequent an.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Unklarer Business Case / ROI-Nachweis;Spezialisierte, kleinere Modelle für spezifische Aufgaben
262;Entwicklung & Architektur (Software, Data Science, KI, Systemarchitektur);Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Präsentationserstellung;Softwareentwicklung ;Bugfixing;";"OpenAI ChatGPT;";Ich nutze einfache Prompts, um mir grundlegende Aufgaben zu erleichtern.;Leichte Verbesserung;Leichte Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Fehlerrate der Modelle;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);In Konzeption oder Entwicklung;Unklarer Business Case / ROI-Nachweis;Kann ich nicht einschätzen
263;IT-Consulting;Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);";"OpenAI ChatGPT;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Deutliche Verbesserung;Deutliche Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Kosten;Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Unternehmensweiter Rollout abgeschlossen;Fehlende Datenqualität und -verfügbarkeit;Hybridansatz aus großen und spezialisierten Modellen
264;IT-Consulting;Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Bildgenerierung;Präsentationserstellung;Iteration von erstellten Unterlagen ;";"OpenAI ChatGPT;Google Gemini;";Ich nutze erweiterte Funktionen (z.B. Automatisierungen, eigene Workflows), um meine Aufgaben zu lösen.;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Wachstumstreiber (neue Produkte, Märkte, Umsatzpotenziale);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Unklarer Business Case / ROI-Nachweis;Hybridansatz aus großen und spezialisierten Modellen
265;Management (Projekt, Produkt, Führung);Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Präsentationserstellung;";"OpenAI ChatGPT;";Ich entwickle eigene GenAI-basierte Lösungen (z.B. mit Hilfe von MCP-Zugriffen oder eigenen Agenten).;Deutliche Verbesserung;Deutliche Verbesserung;Ich nutze den Großteil der Antworten als Vorlage, bei Zweifeln lasse ich die KI das Ergebnis überprüfen.;;"Benutzbarkeit (UI/UX);Kosten;Fehlerrate der Modelle;";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Gleichermaßen beides;Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Mangel an qualifiziertem Personal und Know-how;Mehrere große Modelle in Kombination
266;Management (Projekt, Produkt, Führung);Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);";"OpenAI ChatGPT;Anthrophic Claude;Microsoft Copilot;Google Gemini;Andere cloudbasierte Modelle/Tools;Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);";Ich nutze erweiterte Funktionen (z.B. Automatisierungen, eigene Workflows), um meine Aufgaben zu lösen.;Deutliche Verbesserung;Deutliche Verbesserung;Ich überprüfe jede Antwort mit eigener Recherche oder eigenem Wissen.;;"Fehlerrate der Modelle;Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich kenne die gesetzlichen Rahmenbedingungen (z.B. DSGVO, EU-AI-Act) und achte konsequent auf deren Einhaltung.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Mangel an qualifiziertem Personal und Know-how;Hybridansatz aus großen und spezialisierten Modellen
267;Support & Service;Großes Unternehmen (251-5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Texterstellung (Dokumentation, Berichte, Anforderungen);Softwareentwicklung ;Recherche und Wissensvermittlung;Entscheidungsautomatisierung;";"OpenAI ChatGPT;";Ich nutze verschiedene Modelle und Prompting-Methoden und setze diese gezielt für bessere Ergebnisse ein.;Deutliche Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Erzeugung von präziseren und treffsicheren Antworten;Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);Datensicherheit;";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Unternehmensweiter Rollout abgeschlossen;Mangel an qualifiziertem Personal und Know-how;Mehrere große Modelle in Kombination
268;IT-Consulting;Konzern (über 5000 Mitarbeiter);Dienstleistungen, IT & Beratung;Täglich;"Präsentationserstellung;Recherche und Wissensvermittlung;Texterstellung (Dokumentation, Berichte, Anforderungen);Prozessautomatisierung;Bildgenerierung;Softwareentwicklung ;";"OpenAI ChatGPT;Andere cloudbasierte Modelle/Tools;Lokale OpenSource Modelle (z.B. Llama, DeepSeek, Gemma, Mistral, Phi, qwen o.a.);";Ich entwickle eigene GenAI-basierte Lösungen (z.B. mit Hilfe von MCP-Zugriffen oder eigenen Agenten).;Leichte Verbesserung;Deutliche Verbesserung;Mir ist bewusst, dass KI-Ergebnisse ungenau, fehlerhaft oder biased sein können, ich überprüfe manche Antworten ohne KI Unterstützung.;;"Mehr Integration (Email, Terminkalender, Office Tools);Kontextmanagement (Projektdaten, persönliche Daten, Unternehmensdaten);";Ich bin mit den wichtigsten Regelungen vertraut und setze diese besten Gewissens um.;Als Effizienzhebel (Kostensenkung, Prozessoptimierung);Erste Produktivversion im Einsatz, iterative Weiterentwicklung;Fehlende Datenqualität und -verfügbarkeit;Spezialisierte, kleinere Modelle für spezifische Aufgaben
